index,match_id,player_slot,steam_id,personaname,assists,deaths,denies,gold_per_min,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,kills,xp_per_min,isRadiant,win,kills_per_min,last_hits_per_min,hero_damage_per_min,hero_healing_per_min,tower_damage_per_min
0,7723956234,0,1533145710,Snémaât,10,3,7,615,123,Crystalys,Desolator,Magic Wand,Power Treads,Dragon Lance,Mjollnir,6,696,True,1,0.1953336950623982,9.050461204557786,585.5453065653826,0.0,304.0694519804666
1,7723956234,1,1300455837,BeNnS,4,2,7,532,86,Null Talisman,Force Staff,Blink Dagger,Arcane Boots,Eul's Scepter of Divinity,Phylactery,9,611,True,1,0.2930005425935974,6.348345089527944,622.3331524688009,0.0,41.2805208898535
2,7723956234,2,288327980,Flint-,10,8,2,551,52,Arcane Boots,Bloodstone,Kaya and Sange,Shiva's Guard,Wind Lace,Aegis of the Immortal,4,608,True,1,0.1302224633749321,7.357569180683669,478.5675529028758,0.0,209.1698317959848
3,7723956234,3,1479402527,shogeyuu,9,3,8,383,51,Blade Mail,Magic Wand,Unknown Item,Aghanim's Scepter,Unknown Item,Arcane Boots,5,463,True,1,0.1627780792186652,3.516006511123169,313.6408030385241,4.069451980466631,45.96852957135106
4,7723956234,4,1479790131,sonlin,12,6,3,336,88,Sentry Ward,Dagon,Smoke of Deceit,Arcane Boots,Unknown Item,Unknown Item,5,417,True,1,0.1627780792186652,2.2788931090613134,521.345632121541,0.0,15.49647314161693
5,7723956234,128,1651252190,LoVash,3,7,4,431,107,Veil of Discord,Spirit Vessel,Magic Wand,Blade Mail,Kaya and Sange,Bottle,3,493,False,0,0.0976668475311991,6.576234400434076,349.5496473141617,0.0,0.0
6,7723956234,129,1651253581,Jeri,3,6,5,458,129,Blink Dagger,Desolator,Soul Ring,Phase Boots,Blade Mail,Vladmir's Offering,2,539,False,0,0.065111231687466,8.855127509495388,204.25393380358116,1.5626695604991865,0.74877916440586
7,7723956234,130,1651476638,Xyloria,6,6,7,374,68,Observer and Sentry Wards,Ring of Basilius,Hand of Midas,Aghanim's Scepter,Boots of Speed,Witch Blade,2,462,False,0,0.065111231687466,3.581117742810635,241.4975583288117,0.0,4.850786760716224
8,7723956234,131,1651174780,tomash,6,5,3,236,79,Smoke of Deceit,Blink Dagger,Magic Wand,Aether Lens,Arcane Boots,Wind Lace,3,352,False,0,0.0976668475311991,1.0743353228431904,359.1861096039067,0.0,0.0
9,7723956234,132,1651175928,bOzO,5,5,15,631,54,Phase Boots,Armlet of Mordiggian,Skull Basher,Sange and Yasha,Eye of Skadi,Ogre Axe,10,793,False,0,0.3255561584373304,9.050461204557786,539.153553988063,0.0,83.1470428648942
10,7723925265,0,425280496,doja,7,10,5,371,126,Echo Sabre,Unknown Item,Bracer,Power Treads,Manta Style,Bottle,3,459,True,0,0.101010101010101,3.703703703703704,386.2962962962963,0.0,7.205387205387206
11,7723925265,1,998950885,ryu,2,10,8,576,10,Sange and Yasha,Magic Wand,Khanda,Power Treads,Falcon Blade,Morbid Mask,12,845,True,0,0.404040404040404,5.824915824915825,705.0841750841751,0.0,72.76094276094277
12,7723925265,2,412232719,shibb,15,11,0,318,9,Magic Wand,Rod of Atos,Eul's Scepter of Divinity,Arcane Boots,Unknown Item,Iron Branch,4,464,True,0,0.1346801346801346,1.3131313131313131,524.6127946127946,0.0,0.0
13,7723925265,3,906372983,abc,12,17,1,301,20,Tranquil Boots,Drum of Endurance,Observer and Sentry Wards,Vladmir's Offering,Unknown Item,Magic Wand,2,303,True,0,0.0673400673400673,0.8417508417508418,322.32323232323233,7.676767676767677,0.0
14,7723925265,4,316217576,.,9,11,10,453,98,Eul's Scepter of Divinity,Magic Wand,Blink Dagger,Soul Ring,Kaya and Sange,Arcane Boots,8,582,True,0,0.2693602693602693,3.9057239057239057,582.6936026936027,0.0,4.107744107744108
15,7723925265,128,136623131,Backspace,12,7,13,664,70,Phase Boots,Orb of Corrosion,Vladmir's Offering,Blink Dagger,Skull Basher,Aghanim's Scepter,18,928,False,1,0.6060606060606061,5.050505050505051,1039.6969696969695,75.6902356902357,196.66666666666663
16,7723925265,129,143356903,PMA,13,3,1,666,55,Blink Dagger,Soul Ring,Scythe of Vyse,Arcane Boots,Aghanim's Scepter,Helm of Iron Will,11,883,False,1,0.3703703703703704,7.138047138047138,792.5589225589226,0.0,120.43771043771044
17,7723925265,130,126323933,heh,16,2,10,742,120,Blink Dagger,Aghanim's Scepter,Maelstrom,Desolator,Diffusal Blade,Skull Basher,23,1058,False,1,0.7744107744107744,5.959595959595959,1290.909090909091,0.0,284.71380471380473
18,7723925265,131,931145002,f0rsakeN,30,7,8,386,87,Blink Dagger,Unknown Item,Magic Wand,Force Staff,Null Talisman,Arcane Boots,4,590,False,1,0.1346801346801346,1.043771043771044,619.89898989899,4.2087542087542085,7.946127946127946
19,7723925265,132,240899847,123456,20,10,2,338,19,Arcane Boots,Force Staff,Blink Dagger,Smoke of Deceit,Eul's Scepter of Divinity,Sentry Ward,2,497,False,1,0.0673400673400673,1.2121212121212122,343.87205387205387,0.0,62.5925925925926
20,7723923401,0,1029972951,if you not rank100dont talkto me,6,9,19,477,21,Black King Bar,Power Treads,Gleipnir,Bracer,Magic Wand,Null Talisman,4,610,True,0,0.1168451801363193,7.215189873417721,806.7283349561831,0.0,19.250243427458617
21,7723923401,1,1146548664,Enma,5,10,6,603,25,Boots of Travel,Null Talisman,Kaya,Magic Wand,Aghanim's Scepter,Ethereal Blade,6,960,True,0,0.175267770204479,9.23076923076923,732.5900681596884,0.0,9.990262901655306
22,7723923401,2,1675297152,casino,2,12,10,350,69,Phase Boots,Magic Wand,Blink Dagger,Black King Bar,Dust of Appearance,Wind Lace,2,351,True,0,0.0584225900681596,3.2716650438169426,378.4031158714703,0.0,6.660175267770204
23,7723923401,3,355782716,satori,8,16,0,241,85,Observer Ward,Glimmer Cape,Arcane Boots,Magic Wand,Unknown Item,Smoke of Deceit,2,289,True,0,0.0584225900681596,0.9931840311587148,244.8782862706913,0.0,0.0
24,7723923401,4,1486792934,mitokiromi,9,15,3,277,86,Magic Wand,Observer and Sentry Wards,Force Staff,Dust of Appearance,Arcane Boots,Null Talisman,5,301,True,0,0.1460564751703992,1.460564751703992,323.7195715676728,9.28919182083739,0.0
25,7723923401,128,1151503178,4lenomandradoto,18,9,0,393,52,Blink Dagger,Eul's Scepter of Divinity,Arcane Boots,Observer and Sentry Wards,Magic Wand,Infused Raindrops,5,461,False,1,0.1460564751703992,1.7818889970788705,295.82278481012656,2.5121713729308666,165.9493670886076
26,7723923401,129,1646045109,~.~,9,1,6,847,19,Blink Dagger,Phase Boots,Black King Bar,Khanda,Aghanim's Scepter,Assault Cuirass,28,1184,False,1,0.8179162609542356,8.821811100292113,1243.8169425511198,3.0963972736124634,240.96397273612465
27,7723923401,130,1073591245,Sandq,25,1,4,634,96,Phase Boots,Blink Dagger,Blade Mail,Eternal Shroud,Kaya and Sange,Heart of Tarrasque,10,787,False,1,0.2921129503407984,7.36124634858812,608.5589094449854,0.0,113.10613437195715
28,7723923401,131,1707731674,,32,7,6,365,87,Magic Wand,Glimmer Cape,Arcane Boots,Drum of Endurance,Sentry Ward,Unknown Item,5,568,False,1,0.1460564751703992,1.7234664070107109,613.9337877312561,0.0,12.96981499513145
29,7723923401,132,1149355168,Saprice,20,2,13,725,114,Power Treads,Eye of Skadi,Gleipnir,Aghanim's Scepter,Black King Bar,Wraith Band,14,973,False,1,0.4089581304771178,9.31840311587147,814.8490749756572,0.0,227.4099318403116
30,7723905806,0,1651252190,LoVash,5,11,12,549,61,Boots of Speed,Bloodthorn,Soul Ring,Ogre Axe,Null Talisman,Khanda,10,631,True,0,0.2904162633107454,7.028073572120039,681.026137463698,0.0,69.11907066795742
31,7723905806,1,1651476638,Xyloria,13,11,1,332,14,Null Talisman,Aether Lens,Observer and Sentry Wards,Blink Dagger,Tranquil Boots,Wind Lace,6,474,True,0,0.1742497579864472,0.8131655372700872,432.6040658276864,40.19361084220717,0.0
32,7723905806,2,1651253581,Jeri,5,9,6,630,84,Heart of Tarrasque,Sange and Yasha,Hand of Midas,Black King Bar,Cloak,Power Treads,9,713,True,0,0.2613746369796709,6.795740561471443,708.6447241045499,0.0,60.72604065827687
33,7723905806,3,1651174780,tomash,19,16,1,358,86,Magic Wand,Blink Dagger,Force Staff,Arcane Boots,Aether Lens,Unknown Item,4,476,True,0,0.1161665053242981,1.074540174249758,616.5246853823814,0.0,0.0
34,7723905806,4,1651175928,bOzO,5,12,6,416,93,Power Treads,Diffusal Blade,Magic Wand,Echo Sabre,Mage Slayer,Diadem,8,715,True,0,0.2323330106485963,3.455953533397871,535.9632139399807,0.0,0.0
35,7723905806,128,1533145710,Snémaât,18,8,12,805,123,Manta Style,Gleipnir,Hurricane Pike,Power Treads,Daedalus,Wraith Band,27,1220,False,1,0.7841239109390127,5.866408518877058,1765.9632139399807,0.0,338.01548886737663
36,7723905806,129,1479402527,shogeyuu,36,7,9,497,40,Magic Wand,Unknown Item,Vladmir's Offering,Smoke of Deceit,Arcane Boots,Aghanim's Scepter,3,853,False,1,0.0871248789932236,3.0203291384317525,758.6253630203292,206.19554695062925,55.15004840271056
37,7723905806,130,1300455837,BeNnS,22,10,1,557,137,Wind Lace,Black King Bar,Blade Mail,Phase Boots,Unknown Item,Aghanim's Scepter,15,950,False,1,0.4356243949661181,5.634075508228461,1137.647628267183,3.0784123910939014,24.075508228460794
